Date,Activity_Type,Duration,Calories_Burned
2026-04-30,Gym,86,135
2026-05-01,Walking,53,358
2026-05-02,Gym,43,195
2026-05-03,Yoga,81,376
2026-05-04,Running,74,208
2026-05-05,Gym,89,404
2026-05-06,Running,28,155
2026-05-07,Gym,42,350
2026-05-08,Yoga,36,150
2026-05-09,Yoga,64,174
2026-05-10,Running,44,433
2026-05-11,Running,76,160
2026-05-12,Cycling,30,448
2026-05-13,Gym,59,125
2026-05-14,Cycling,38,376
2026-05-15,Yoga,23,287
2026-05-16,Walking,23,400
2026-05-17,Cycling,59,306
2026-05-18,Running,56,390
2026-05-19,Yoga,62,131
2026-05-20,Yoga,74,177
2026-05-21,Walking,58,407
2026-05-22,Cycling,63,217
2026-05-23,Yoga,50,267
2026-05-24,Yoga,67,277
2026-05-25,Cycling,27,475
2026-05-26,Running,32,298
2026-05-27,Running,66,428
2026-05-28,Walking,67,175
2026-05-29,Walking,52,468
2026-05-30,Gym,66,208
2026-05-31,Gym,26,332
2026-06-01,Cycling,71,188
2026-06-02,Running,49,285
2026-06-03,Running,75,143
2026-06-04,Cycling,70,293
2026-06-05,Running,90,191
2026-06-06,Walking,54,234
2026-06-07,Running,59,488
2026-06-08,Yoga,83,351
2026-06-09,Running,43,192
2026-06-10,Yoga,72,351
2026-06-11,Cycling,68,352
2026-06-12,Gym,34,182
2026-06-13,Cycling,51,352
2026-06-14,Gym,22,432
2026-06-15,Walking,64,216
2026-06-16,Yoga,32,125
2026-06-17,Gym,71,123
2026-06-18,Walking,73,300
2026-06-19,Gym,53,491
2026-06-20,Running,27,176
2026-06-21,Gym,37,205
2026-06-22,Running,82,424
2026-06-23,Yoga,86,243
2026-06-24,Walking,48,402
2026-06-25,Gym,78,290
2026-06-26,Running,35,356
2026-06-27,Gym,90,426
2026-06-28,Yoga,58,210
2026-06-29,Yoga,66,277
2026-06-30,Gym,75,392
2026-07-01,Gym,61,137
2026-07-02,Yoga,63,395
2026-07-03,Running,69,165
2026-07-04,Running,67,303
2026-07-05,Running,88,239
2026-07-06,Walking,75,423
2026-07-07,Gym,66,325
2026-07-08,Gym,34,499
2026-07-09,Yoga,82,396
2026-07-10,Yoga,37,109
2026-07-11,Cycling,23,414
2026-07-12,Cycling,24,422
2026-07-13,Walking,32,426
2026-07-14,Running,62,252
2026-07-15,Gym,47,230
2026-07-16,Cycling,44,309
2026-07-17,Cycling,33,406
2026-07-18,Running,69,473
2026-07-19,Yoga,83,221
